HomeTeam,AwayTeam,Year,HomeGoals,AwayGoals,TotalGoals
Belarus,Northern Ireland,2007,5,0,5
Germany,Switzerland,2007,7,0,7
Austria,Russia,2007,1,5,6
Romania,Republic of Ireland,2007,0,2,2
Serbia,Greece,2007,1,2,3
Belarus,Czech Republic,2007,1,4,5
Slovenia,Iceland,2007,2,1,3
Netherlands,Wales,2007,2,1,3
Austria,Israel,2007,5,0,5
Germany,Argentina,2007,11,0,11
Japan,England,2007,2,2,4
United States,North Korea,2007,2,2,4
Nigeria,Sweden,2007,1,1,2
Ghana,Australia,2007,1,4,5
Norway,Canada,2007,2,1,3
New Zealand,Brazil,2007,0,5,5
China PR,Denmark,2007,3,2,5
Argentina,Japan,2007,0,1,1
England,Germany,2007,0,0,0
Sweden,United States,2007,0,2,2
North Korea,Nigeria,2007,2,0,2
Canada,Ghana,2007,4,0,4
Australia,Norway,2007,1,1,2
Denmark,New Zealand,2007,2,0,2
China PR,Brazil,2007,0,4,4
Germany,Japan,2007,2,0,2
England,Argentina,2007,6,1,7
Nigeria,United States,2007,0,1,1
North Korea,Sweden,2007,1,2,3
Norway,Ghana,2007,7,2,9
Australia,Canada,2007,2,2,4
China PR,New Zealand,2007,2,0,2
Brazil,Denmark,2007,1,0,1
Germany,North Korea,2007,3,0,3
United States,England,2007,3,0,3
China PR,Norway,2007,0,1,1
Brazil,Australia,2007,3,2,5
Germany,Norway,2007,3,0,3
United States,Brazil,2007,0,4,4
Norway,United States,2007,1,4,5
Germany,Brazil,2007,2,0,2
India,Iran,2007,3,1,4
Hong Kong,Philippines,2007,2,3,5
Singapore,Malaysia,2007,0,2,2
Hong Kong,Philippines,2007,1,1,2
England,Belarus,2007,4,0,4
Czech Republic,Spain,2007,2,2,4
Hungary,Italy,2007,1,3,4
Republic of Ireland,Romania,2007,2,1,3
Serbia,France,2007,0,8,8
Slovakia,Scotland,2007,0,3,3
Denmark,Portugal,2007,5,1,6
Norway,Russia,2007,3,0,3
Iran,India,2007,4,1,5
Malaysia,Singapore,2007,0,1,1
Wales,Switzerland,2007,0,2,2
Germany,Belgium,2007,3,0,3
Italy,Romania,2007,5,0,5
Slovenia,France,2007,0,2,2
Belgium,Wales,2007,1,0,1
Scotland,Denmark,2007,0,1,1
Netherlands,Germany,2007,0,1,1
England,Spain,2007,1,0,1
China PR,Finland,2008,2,0,2
United States,Canada,2008,4,0,4
China PR,Canada,2008,0,0,0
United States,Finland,2008,4,1,5
Canada,Finland,2008,1,1,2
China PR,United States,2008,0,1,1
Spain,Northern Ireland,2008,4,0,4
Italy,Republic of Ireland,2008,4,1,5
Portugal,Slovakia,2008,0,1,1
Wales,Belgium,2008,0,1,1
Wales,Netherlands,2008,0,1,1
Portugal,Ukraine,2008,0,1,1
Germany,Denmark,2008,0,1,1
Finland,Sweden,2008,1,3,4
China PR,United States,2008,0,4,4
Norway,Italy,2008,4,2,6
Iceland,Poland,2008,2,0,2
Portugal,Republic of Ireland,2008,2,0,2
United States,Scotland,2008,2,1,3
Canada,Russia,2008,2,1,3
Japan,Netherlands,2008,3,1,4
Northern Ireland,England,2008,0,2,2
Germany,Finland,2008,3,0,3
Denmark,Sweden,2008,1,0,1
United States,Italy,2008,2,0,2
Norway,China PR,2008,3,1,4
Portugal,Poland,2008,3,1,4
Republic of Ireland,Iceland,2008,1,4,5
Scotland,Netherlands,2008,0,1,1
Japan,Canada,2008,0,3,3
Russia,United States,2008,2,0,2
Denmark,Finland,2008,1,0,1
Sweden,Germany,2008,0,2,2
China PR,Italy,2008,0,2,2
United States,Norway,2008,4,0,4
Portugal,Iceland,2008,0,3,3
Poland,Republic of Ireland,2008,0,1,1
Netherlands,United States,2008,0,2,2
Russia,Japan,2008,1,3,4
Scotland,Canada,2008,2,0,2
Republic of Ireland,Poland,2008,2,2,4
Portugal,China PR,2008,1,1,2
Finland,Iceland,2008,0,3,3
Sweden,Italy,2008,3,0,3
Germany,Norway,2008,0,2,2
Denmark,United States,2008,1,2,3
Russia,Scotland,2008,3,2,5
Netherlands,Japan,2008,1,2,3
Canada,United States,2008,3,2,5
England,Czech Republic,2008,0,0,0
Myanmar,Taiwan,2008,0,3,3
Vietnam,Iran,2008,4,1,5
Thailand,Malaysia,2008,11,0,11
South Korea,Philippines,2008,4,0,4
Vietnam,Taiwan,2008,3,1,4
Iran,Myanmar,2008,1,2,3
Malaysia,South Korea,2008,0,13,13
Thailand,Philippines,2008,9,0,9
Vietnam,Myanmar,2008,1,0,1
Taiwan,Iran,2008,2,3,5
Thailand,South Korea,2008,0,4,4
Malaysia,Philippines,2008,0,0,0
Hungary,Republic of Ireland,2008,0,2,2
Greece,France,2008,0,5,5
Belgium,Netherlands,2008,2,2,4
Slovakia,Denmark,2008,1,4,5
Czech Republic,Northern Ireland,2008,4,0,4
Belgium,Switzerland,2008,3,1,4
Denmark,Scotland,2008,2,1,3
Spain,Belarus,2008,6,1,7
Hungary,Sweden,2008,0,6,6
Serbia,Slovenia,2008,0,3,3
Portugal,Scotland,2008,1,4,5
Norway,Israel,2008,7,0,7
Sweden,Italy,2008,1,0,1
Belgium,Germany,2008,0,5,5
Norway,Poland,2008,3,0,3
Belarus,England,2008,1,6,7
Spain,Czech Republic,2008,4,1,5
France,Serbia,2008,2,0,2
Switzerland,Wales,2008,2,0,2
Portugal,Denmark,2008,0,4,4
Romania,Italy,2008,1,6,7
Northern Ireland,Spain,2008,0,3,3
Romania,Hungary,2008,3,1,4
Serbia,Iceland,2008,0,4,4
Slovenia,Greece,2008,3,1,4
Denmark,Slovakia,2008,6,1,7
Scotland,Ukraine,2008,0,1,1
Poland,Austria,2008,2,4,6
North Korea,Thailand,2008,5,0,5
Vietnam,China PR,2008,0,1,1
Germany,Wales,2008,4,0,4
Russia,Israel,2008,4,0,4
Australia,Taiwan,2008,4,0,4
Japan,South Korea,2008,1,3,4
Vietnam,North Korea,2008,0,3,3
Thailand,China PR,2008,1,5,6
Taiwan,Japan,2008,0,11,11
South Korea,Australia,2008,0,2,2
China PR,North Korea,2008,0,1,1
Vietnam,Thailand,2008,1,0,1
Australia,Japan,2008,1,3,4
South Korea,Taiwan,2008,2,0,2
North Korea,Australia,2008,3,0,3
Japan,China PR,2008,1,3,4
Australia,Japan,2008,0,3,3
North Korea,China PR,2008,2,1,3
South Korea,New Zealand,2008,2,1,3
Canada,Argentina,2008,5,0,5
United States,Australia,2008,2,1,3
Brazil,Italy,2008,2,1,3
South Korea,Canada,2008,1,3,4
Argentina,New Zealand,2008,0,1,1
United States,Brazil,2008,1,0,1
Italy,Australia,2008,0,3,3
New Zealand,Canada,2008,0,2,2
South Korea,Argentina,2008,2,0,2
Australia,Brazil,2008,1,0,1
Italy,United States,2008,0,2,2
Iceland,Slovenia,2008,5,0,5
Austria,Norway,2008,0,4,4
Canada,United States,2008,0,1,1
Ukraine,Denmark,2008,1,0,1
Republic of Ireland,Sweden,2008,0,5,5
Israel,Austria,2008,0,2,2
Poland,Norway,2008,0,3,3
Czech Republic,Belarus,2008,3,1,4
Iceland,Greece,2008,7,0,7
Northern Ireland,Belarus,2008,1,1,2
Argentina,Canada,2008,1,2,3
China PR,Sweden,2008,2,1,3
Germany,Brazil,2008,0,0,0
North Korea,Nigeria,2008,1,0,1
Japan,New Zealand,2008,2,2,4
Norway,United States,2008,2,0,2
Sweden,Argentina,2008,1,0,1
China PR,Canada,2008,1,1,2
Nigeria,Germany,2008,0,1,1
Brazil,North Korea,2008,2,1,3
United States,Japan,2008,1,0,1
New Zealand,Norway,2008,0,1,1
China PR,Argentina,2008,2,0,2
Sweden,Canada,2008,2,1,3
North Korea,Germany,2008,0,1,1
Nigeria,Brazil,2008,1,3,4
Norway,Japan,2008,1,5,6
United States,New Zealand,2008,4,0,4
United States,Canada,2008,2,1,3
Brazil,Norway,2008,2,1,3
Sweden,Germany,2008,0,2,2
China PR,Japan,2008,0,2,2
Brazil,Germany,2008,4,1,5
United States,Japan,2008,4,2,6
Germany,Japan,2008,2,0,2
Brazil,United States,2008,0,1,1
Russia,Austria,2008,3,1,4
Netherlands,Switzerland,2008,1,1,2
Sweden,Romania,2008,2,0,2
Greece,Serbia,2008,0,5,5
France,Iceland,2008,2,1,3
Netherlands,Belgium,2008,3,0,3
Ukraine,Portugal,2008,1,1,2
Poland,Russia,2008,1,4,5
Czech Republic,England,2008,1,5,6
Scotland,Slovakia,2008,6,0,6
Sweden,Republic of Ireland,2008,1,0,1
Switzerland,Germany,2008,0,3,3
Denmark,Ukraine,2008,1,0,1
Spain,England,2008,2,2,4
Italy,Hungary,2008,3,0,3
Greece,Slovenia,2008,4,6,10
Russia,Norway,2008,0,0,0
Czech Republic,Italy,2008,0,1,1
Spain,Netherlands,2008,0,2,2
Republic of Ireland,Iceland,2008,1,1,2
Scotland,Russia,2008,2,3,5
Slovenia,Ukraine,2008,0,3,3
Italy,Czech Republic,2008,2,1,3
Iceland,Republic of Ireland,2008,3,0,3
Russia,Scotland,2008,1,2,3
Netherlands,Spain,2008,2,0,2
Ukraine,Slovenia,2008,2,0,2
Equatorial Guinea,Cameroon,2008,1,0,1
Mali,Congo,2008,0,1,1
Nigeria,Ghana,2008,1,1,2
South Africa,Tunisia,2008,2,1,3
Cameroon,Mali,2008,2,1,3
Equatorial Guinea,Congo,2008,5,2,7
Ghana,South Africa,2008,0,1,1
Tunisia,Nigeria,2008,0,0,0
Equatorial Guinea,Mali,2008,2,1,3
Cameroon,Congo,2008,1,0,1
Nigeria,South Africa,2008,1,0,1
Ghana,Tunisia,2008,3,2,5
Equatorial Guinea,Nigeria,2008,1,0,1
South Africa,Cameroon,2008,3,0,3
Nigeria,Cameroon,2008,1,1,2
Equatorial Guinea,South Africa,2008,2,1,3
South Korea,Finland,2009,4,0,4
China PR,New Zealand,2009,6,0,6
China PR,Finland,2009,1,0,1
South Korea,New Zealand,2009,4,3,7
China PR,South Korea,2009,1,0,1
New Zealand,Finland,2009,0,2,2
Germany,Finland,2009,2,0,2
China PR,Sweden,2009,0,0,0
United States,Denmark,2009,2,0,2
Norway,Iceland,2009,1,3,4
Wales,Austria,2009,1,2,3
Portugal,Poland,2009,2,1,3
South Africa,England,2009,0,6,6
France,Scotland,2009,2,0,2
Netherlands,Russia,2009,2,1,3
Canada,New Zealand,2009,1,1,2
Sweden,Finland,2009,1,0,1
Germany,China PR,2009,3,0,3
United States,Iceland,2009,1,0,1
Denmark,Norway,2009,2,0,2
Austria,Poland,2009,1,1,2
Portugal,Wales,2009,2,1,3
England,France,2009,2,2,4
South Africa,Scotland,2009,2,0,2
Canada,Netherlands,2009,2,1,3
Russia,New Zealand,2009,4,2,6
Finland,China PR,2009,0,1,1
Sweden,Germany,2009,3,2,5
Norway,United States,2009,0,1,1
Iceland,Denmark,2009,0,2,2
Portugal,Austria,2009,1,0,1
Poland,Wales,2009,1,5,6
England,Scotland,2009,3,0,3
France,South Africa,2009,3,2,5
Canada,Russia,2009,2,0,2
New Zealand,Netherlands,2009,2,0,2
Wales,Poland,2009,1,2,3
Austria,Norway,2009,0,2,2
Portugal,Finland,2009,1,1,2
China PR,Iceland,2009,2,1,3
Germany,Denmark,2009,0,1,1
United States,Sweden,2009,1,1,2
Scotland,Russia,2009,2,1,3
Netherlands,South Africa,2009,5,0,5
France,New Zealand,2009,1,1,2
England,Canada,2009,3,1,4
Kyrgyzstan,Jordan,2009,1,7,8
Palestine,Maldives,2009,4,0,4
Maldives,Uzbekistan,2009,0,5,5
Palestine,Kyrgyzstan,2009,1,4,5
Uzbekistan,Palestine,2009,5,0,5
Jordan,Maldives,2009,9,0,9
Jordan,Palestine,2009,5,0,5
Kyrgyzstan,Uzbekistan,2009,0,2,2
Maldives,Kyrgyzstan,2009,0,2,2
Uzbekistan,Jordan,2009,2,2,4
Thailand,Uzbekistan,2009,6,1,7
Vietnam,Kyrgyzstan,2009,10,1,11
Iran,Uzbekistan,2009,1,4,5
Hong Kong,Kyrgyzstan,2009,2,0,2
Thailand,Iran,2009,8,1,9
Vietnam,Hong Kong,2009,7,0,7
Taiwan,Jordan,2009,0,1,1
Myanmar,Jordan,2009,3,0,3
Taiwan,Myanmar,2009,2,5,7
Ukraine,Netherlands,2009,0,2,2
Finland,Denmark,2009,1,0,1
Germany,Norway,2009,4,0,4
Iceland,France,2009,1,3,4
Italy,England,2009,2,1,3
Sweden,Russia,2009,3,0,3
Ukraine,Denmark,2009,1,2,3
Finland,Netherlands,2009,2,1,3
France,Germany,2009,1,5,6
Iceland,Norway,2009,0,1,1
Italy,Sweden,2009,0,2,2
England,Russia,2009,3,2,5
Finland,Ukraine,2009,0,1,1
Denmark,Netherlands,2009,1,2,3
Germany,Iceland,2009,1,0,1
Norway,France,2009,1,1,2
Russia,Italy,2009,0,2,2
Sweden,England,2009,1,1,2
Finland,England,2009,2,3,5
Netherlands,France,2009,0,0,0
Germany,Italy,2009,2,1,3
Sweden,Norway,2009,1,3,4
England,Netherlands,2009,2,1,3
Germany,Norway,2009,3,1,4
England,Germany,2009,2,6,8
China PR,Mexico,2009,3,0,3
Brazil,Chile,2009,3,1,4
China PR,Chile,2009,0,1,1
Brazil,Mexico,2009,3,2,5
Chile,Mexico,2009,0,6,6
Brazil,China PR,2009,3,0,3
China PR,Chile,2009,2,0,2
Brazil,Mexico,2009,5,2,7
China PR,Finland,2010,1,1,2
Germany,Denmark,2010,4,0,4
United States,Iceland,2010,2,0,2
Norway,Sweden,2010,2,2,4
Portugal,Faroe Islands,2010,5,0,5
Romania,Austria,2010,2,0,2
Scotland,Netherlands,2010,1,4,5
New Zealand,Italy,2010,1,0,1
England,South Africa,2010,1,0,1
Canada,Switzerland,2010,2,1,3
Denmark,China PR,2010,0,2,2
Germany,Finland,2010,7,0,7
Norway,United States,2010,1,2,3
Iceland,Sweden,2010,1,5,6
Portugal,Romania,2010,0,0,0
Austria,Faroe Islands,2010,3,0,3
Italy,Scotland,2010,2,0,2
Netherlands,New Zealand,2010,1,1,2
Switzerland,South Africa,2010,3,1,4
England,Canada,2010,0,1,1
China PR,Germany,2010,0,5,5
Denmark,Finland,2010,2,1,3
United States,Sweden,2010,2,0,2
Iceland,Norway,2010,2,3,5
Faroe Islands,Romania,2010,1,5,6
Portugal,Austria,2010,2,1,3
New Zealand,Scotland,2010,3,0,3
Italy,Netherlands,2010,1,1,2
South Africa,Canada,2010,1,2,3
England,Switzerland,2010,2,2,4
Austria,Faroe Islands,2010,6,0,6
Portugal,Iceland,2010,0,3,3
Finland,Romania,2010,0,1,1
Denmark,Norway,2010,2,1,3
China PR,Sweden,2010,0,2,2
Germany,United States,2010,2,3,5
Suriname,Saint Vincent and the Grenadines,2010,1,0,1
South Africa,Scotland,2010,1,2,3
England,Italy,2010,3,2,5
Netherlands,Switzerland,2010,4,0,4
New Zealand,Canada,2010,0,1,1
Guyana,Suriname,2010,2,0,2
Senegal,Morocco,2010,0,0,0
Ethiopia,Tanzania,2010,1,3,4
Namibia,Angola,2010,2,1,3
Botswana,DR Congo,2010,0,2,2
Gabon,Ivory Coast,2010,1,2,3
Guinea,Sierra Leone,2010,3,2,5
Guyana,Saint Vincent and the Grenadines,2010,1,0,1
Antigua and Barbuda,Saint Lucia,2010,1,2,3
U.S. Virgin Islands,Saint Lucia,2010,0,7,7
Antigua and Barbuda,U.S. Virgin Islands,2010,3,1,4
Saint Kitts and Nevis,Dominica,2010,2,0,2
DR Congo,Botswana,2010,5,2,7
Ivory Coast,Gabon,2010,3,1,4
Puerto Rico,Saint Kitts and Nevis,2010,7,0,7
Angola,Namibia,2010,1,1,2
Puerto Rico,Dominica,2010,6,0,6
Dominican Republic,Turks and Caicos Islands,2010,3,1,4
Turks and Caicos Islands,Haiti,2010,0,5,5
Barbados,Anguilla,2010,3,0,3
Dominican Republic,Haiti,2010,1,2,3
Anguilla,Grenada,2010,2,0,2
Barbados,Grenada,2010,4,0,4
El Salvador,Belize,2010,9,0,9
Guatemala,El Salvador,2010,2,1,3
Guatemala,Belize,2010,5,1,6
Nicaragua,Honduras,2010,2,1,3
Honduras,Costa Rica,2010,0,2,2
Nicaragua,Costa Rica,2010,0,2,2
Guyana,Barbados,2010,3,0,3
Trinidad and Tobago,Saint Lucia,2010,6,1,7
Cuba,Puerto Rico,2010,4,3,7
Antigua and Barbuda,Haiti,2010,1,4,5
Saint Lucia,Guyana,2010,0,8,8
Trinidad and Tobago,Barbados,2010,5,0,5
Haiti,Cuba,2010,3,0,3
Puerto Rico,Antigua and Barbuda,2010,8,0,8
Barbados,Saint Lucia,2010,4,3,7
Trinidad and Tobago,Guyana,2010,3,0,3
Haiti,Puerto Rico,2010,2,0,2
Cuba,Antigua and Barbuda,2010,6,1,7
Australia,Vietnam,2010,2,0,2
China PR,South Korea,2010,0,0,0
North Korea,Thailand,2010,3,0,3
Japan,Myanmar,2010,8,0,8
DR Congo,Cameroon,2010,0,2,2
South Korea,Australia,2010,1,3,4
China PR,Vietnam,2010,5,0,5
Algeria,Tunisia,2010,1,1,2
Senegal,Ghana,2010,0,1,1
Thailand,Japan,2010,0,4,4
Myanmar,North Korea,2010,0,2,2
Namibia,Equatorial Guinea,2010,1,5,6
Ivory Coast,Nigeria,2010,1,2,3
Guinea,Mali,2010,0,2,2
Tanzania,Eritrea,2010,8,1,9
China PR,Australia,2010,1,0,1
Vietnam,South Korea,2010,0,5,5
North Korea,Japan,2010,1,2,3
Myanmar,Thailand,2010,0,2,2
Japan,Australia,2010,0,1,1
China PR,North Korea,2010,0,1,1
China PR,Japan,2010,0,2,2
Australia,North Korea,2010,1,1,2
Tunisia,Algeria,2010,0,1,1
Cameroon,DR Congo,2010,3,0,3
Nigeria,Ivory Coast,2010,3,1,4
Mali,Guinea,2010,1,2,3
Eritrea,Tanzania,2010,3,3,6
Ghana,Senegal,2010,3,0,3
Cuba,Guyana,2010,1,0,1
Guyana,Cuba,2010,3,1,4
New Zealand,Vanuatu,2010,14,0,14
Cook Islands,Tahiti,2010,1,0,1
Papua New Guinea,Fiji,2010,3,0,3
Solomon Islands,Tonga,2010,4,0,4
Tahiti,Vanuatu,2010,5,1,6
New Zealand,Cook Islands,2010,10,0,10
Tonga,Fiji,2010,2,1,3
Solomon Islands,Papua New Guinea,2010,1,2,3
New Zealand,Tahiti,2010,7,0,7
Vanuatu,Cook Islands,2010,0,2,2
Tonga,Papua New Guinea,2010,0,3,3
Fiji,Solomon Islands,2010,0,0,0
New Zealand,Solomon Islands,2010,8,0,8
Papua New Guinea,Cook Islands,2010,1,0,1
Solomon Islands,Cook Islands,2010,0,2,2
New Zealand,Papua New Guinea,2010,11,0,11
South Korea,New Zealand,2010,0,0,0
Australia,Mexico,2010,3,1,4
South Korea,England,2010,0,0,0
Taiwan,Australia,2010,0,1,1
New Zealand,England,2010,0,0,0
Mexico,Taiwan,2010,1,0,1
South Korea,Australia,2010,2,1,3
Costa Rica,Guatemala,2010,1,0,1
United States,Haiti,2010,5,0,5
Trinidad and Tobago,Canada,2010,0,1,1
Mexico,Guyana,2010,7,2,9
Haiti,Costa Rica,2010,0,3,3
United States,Guatemala,2010,9,0,9
South Africa,Tanzania,2010,2,1,3
Canada,Guyana,2010,8,0,8
Mexico,Trinidad and Tobago,2010,2,0,2
Guatemala,Haiti,2010,0,1,1
United States,Costa Rica,2010,4,0,4
Nigeria,Mali,2010,5,0,5
Guyana,Trinidad and Tobago,2010,1,4,5
Mexico,Canada,2010,0,3,3
Equatorial Guinea,Cameroon,2010,2,2,4
Algeria,Ghana,2010,1,2,3
Morocco,Senegal,2010,0,1,1
Sierra Leone,Guinea,2010,1,1,2
Tanzania,Ethiopia,2010,1,1,2
Argentina,Bolivia,2010,3,0,3
Ecuador,Chile,2010,1,2,3
South Africa,Nigeria,2010,1,2,3
Mali,Tanzania,2010,3,2,5
Paraguay,Colombia,2010,0,3,3
Brazil,Venezuela,2010,4,0,4
Canada,Costa Rica,2010,4,0,4
Mexico,United States,2010,2,1,3
Equatorial Guinea,Algeria,2010,1,0,1
Ghana,Cameroon,2010,1,2,3
Chile,Argentina,2010,1,2,3
Ecuador,Peru,2010,2,1,3
Venezuela,Paraguay,2010,0,4,4
Uruguay,Brazil,2010,0,4,4
South Africa,Mali,2010,4,0,4
Tanzania,Nigeria,2010,0,3,3
Chile,Bolivia,2010,3,0,3
Argentina,Peru,2010,2,0,2
Costa Rica,United States,2010,0,3,3
Mexico,Canada,2010,0,1,1
Ghana,Equatorial Guinea,2010,1,3,4
Cameroon,Algeria,2010,2,1,3
Colombia,Venezuela,2010,5,0,5
Paraguay,Uruguay,2010,4,0,4
Peru,Chile,2010,1,3,4
Ecuador,Bolivia,2010,4,3,7
Venezuela,Uruguay,2010,5,2,7
Colombia,Brazil,2010,1,2,3
Nigeria,Cameroon,2010,5,1,6
South Africa,Equatorial Guinea,2010,1,3,4
Bolivia,Peru,2010,2,1,3
Ecuador,Argentina,2010,1,0,1
Uruguay,Colombia,2010,0,8,8
Brazil,Paraguay,2010,3,0,3
South Africa,Cameroon,2010,2,0,2
Nigeria,Equatorial Guinea,2010,4,2,6
Chile,Colombia,2010,1,1,2
Brazil,Argentina,2010,4,0,4
Chile,Argentina,2010,0,0,0
Brazil,Colombia,2010,5,0,5
Colombia,Argentina,2010,1,0,1
Chile,Brazil,2010,1,3,4
Canada,Netherlands,2010,5,0,5
Brazil,Mexico,2010,3,0,3
Brazil,Netherlands,2010,3,2,5
Canada,Mexico,2010,1,0,1
Mexico,Netherlands,2010,1,3,4
Brazil,Canada,2010,0,0,0
Netherlands,Mexico,2010,2,1,3
Brazil,Canada,2010,2,2,4
Sweden,United States,2011,2,1,3
China PR,Canada,2011,2,3,5
China PR,Sweden,2011,2,1,3
United States,Canada,2011,2,1,3
Canada,Sweden,2011,1,0,1
China PR,United States,2011,0,2,2
Norway,Finland,2011,2,1,3
United States,Japan,2011,2,1,3
Sweden,Iceland,2011,1,2,3
China PR,Denmark,2011,0,1,1
Portugal,Wales,2011,3,1,4
Romania,Chile,2011,2,0,2
Canada,Scotland,2011,1,0,1
England,Italy,2011,2,0,2
France,Switzerland,2011,2,0,2
New Zealand,Netherlands,2011,1,4,5
South Korea,Northern Ireland,2011,3,1,4
Russia,Mexico,2011,0,0,0
Macedonia,Lithuania,2011,1,1,2
Luxembourg,Latvia,2011,2,0,2
Malta,Georgia,2011,1,0,1
Faroe Islands,Armenia,2011,0,1,1
Japan,Finland,2011,5,0,5
United States,Norway,2011,2,0,2
Iceland,China PR,2011,2,1,3
Denmark,Sweden,2011,1,3,4
Portugal,Chile,2011,0,0,0
Wales,Romania,2011,2,1,3
England,Scotland,2011,0,2,2
Italy,Canada,2011,0,1,1
France,Netherlands,2011,1,2,3
Switzerland,New Zealand,2011,1,2,3
Russia,Northern Ireland,2011,2,1,3
South Korea,Mexico,2011,1,1,2
Macedonia,Luxembourg,2011,5,1,6
Latvia,Lithuania,2011,1,0,1
Armenia,Georgia,2011,0,0,0
Malta,Faroe Islands,2011,0,2,2
Norway,Japan,2011,0,1,1
United States,Finland,2011,4,0,4
China PR,Sweden,2011,0,1,1
Denmark,Iceland,2011,0,1,1
Chile,Wales,2011,1,2,3
Portugal,Romania,2011,1,1,2
Scotland,Italy,2011,0,0,0
Canada,England,2011,2,0,2
Netherlands,Switzerland,2011,6,0,6
New Zealand,France,2011,2,5,7
Mexico,Northern Ireland,2011,3,1,4
Russia,South Korea,2011,1,2,3
Lithuania,Luxembourg,2011,4,1,5
Macedonia,Latvia,2011,1,0,1
Georgia,Faroe Islands,2011,1,0,1
Malta,Armenia,2011,1,1,2
Romania,Chile,2011,1,1,2
Portugal,Finland,2011,2,1,3
China PR,Wales,2011,2,1,3
Norway,Denmark,2011,0,0,0
Sweden,Japan,2011,1,2,3
Iceland,United States,2011,2,4,6
Switzerland,Northern Ireland,2011,2,1,3
Italy,Russia,2011,2,0,2
New Zealand,Mexico,2011,0,5,5
England,South Korea,2011,2,0,2
Scotland,France,2011,0,3,3
Canada,Netherlands,2011,2,1,3
Iceland,Bulgaria,2011,6,0,6
New Zealand,Wales,2011,2,0,2
Colombia,Denmark,2011,1,1,2
Wales,Denmark,2011,0,3,3
New Zealand,Colombia,2011,1,0,1
Denmark,New Zealand,2011,1,0,1
Colombia,Wales,2011,3,1,4
Nigeria,France,2011,0,1,1
Germany,Canada,2011,2,1,3
Japan,New Zealand,2011,2,1,3
Mexico,England,2011,1,1,2
Colombia,Sweden,2011,0,1,1
United States,North Korea,2011,2,0,2
Norway,Equatorial Guinea,2011,1,0,1
Brazil,Australia,2011,1,0,1
Canada,France,2011,0,4,4
Germany,Nigeria,2011,1,0,1
Japan,Mexico,2011,4,0,4
New Zealand,England,2011,1,2,3
North Korea,Sweden,2011,0,1,1
United States,Colombia,2011,3,0,3
Australia,Equatorial Guinea,2011,3,2,5
Brazil,Norway,2011,3,0,3
Germany,France,2011,4,2,6
Canada,Nigeria,2011,0,1,1
England,Japan,2011,2,0,2
New Zealand,Mexico,2011,2,2,4
Sweden,United States,2011,2,1,3
North Korea,Colombia,2011,0,0,0
Equatorial Guinea,Brazil,2011,0,3,3
Australia,Norway,2011,2,1,3
England,France,2011,1,1,2
Germany,Japan,2011,0,1,1
Sweden,Australia,2011,3,1,4
Brazil,United States,2011,2,2,4
France,United States,2011,1,3,4
Japan,Sweden,2011,3,1,4
Sweden,France,2011,2,1,3
Japan,United States,2011,2,2,4
Belarus,Estonia,2011,2,1,3
Israel,France,2011,0,5,5
Bosnia and Herzegovina,Italy,2011,0,1,1
Kazakhstan,Romania,2011,0,3,3
Germany,Switzerland,2011,4,1,5
Turkey,Spain,2011,1,10,11
Belgium,Hungary,2011,2,1,3
Iceland,Norway,2011,3,1,4
Wales,Republic of Ireland,2011,0,2,2
Serbia,England,2011,2,2,4
Armenia,Portugal,2011,0,8,8
Austria,Czech Republic,2011,1,1,2
Estonia,Ukraine,2011,1,4,5
Poland,Russia,2011,0,20,20
Switzerland,Romania,2011,4,1,5
Norway,Hungary,2011,6,0,6
Iceland,Belgium,2011,0,0,0
Netherlands,Serbia,2011,6,0,6
Armenia,Denmark,2011,0,5,5
Kazakhstan,Turkey,2011,2,0,2
Republic of Ireland,France,2011,1,3,4
England,Slovenia,2011,4,0,4
Russia,Bosnia and Herzegovina,2011,4,1,5
Macedonia,Italy,2011,0,9,9
Poland,Greece,2011,2,0,2
Turkey,Kazakhstan,2011,0,0,0
Romania,Germany,2011,0,3,3
Hungary,Iceland,2011,0,1,1
Bulgaria,Northern Ireland,2011,0,1,1
Republic of Ireland,Israel,2011,2,0,2
Wales,France,2011,1,4,5
Ukraine,Slovakia,2011,0,0,0
Finland,Estonia,2011,6,0,6
Croatia,Netherlands,2011,0,3,3
Slovenia,Serbia,2011,1,2,3
Czech Republic,Portugal,2011,1,0,1
Denmark,Austria,2011,3,0,3
Spain,Switzerland,2011,3,2,5
Macedonia,Greece,2011,1,1,2
Italy,Russia,2011,2,0,2
Poland,Bosnia and Herzegovina,2011,4,0,4
Belgium,Norway,2011,0,1,1
Northern Ireland,Iceland,2011,0,2,2
France,Israel,2011,5,0,5
Slovakia,Estonia,2011,3,1,4
Austria,Armenia,2011,3,0,3
Portugal,Denmark,2011,0,3,3
Kazakhstan,Spain,2011,0,4,4
Romania,Turkey,2011,7,1,8
Bulgaria,Hungary,2011,0,4,4
Scotland,Wales,2011,2,2,4
Belarus,Finland,2011,2,2,4
Croatia,Slovenia,2011,3,3,6
Netherlands,England,2011,0,0,0
Macedonia,Bosnia and Herzegovina,2011,2,6,8
Greece,Russia,2011,0,4,4
Poland,Italy,2011,0,5,5
Germany,Kazakhstan,2011,17,0,17
Belgium,Bulgaria,2011,5,0,5
Northern Ireland,Norway,2011,3,1,4
Slovakia,Belarus,2011,3,0,3
